DEÜ der
GE/SJIKʃ/DJEN Geschichten
GE/SJIKʃ/DJN Geschichten
BDJNK/GE/SUND/HEIs/MI/NIS/DJE/RI/UM Gesundheitsministerium
BDJNK/GE/SUND/HEIs/MNIS/DJRI/UM Gesundheitsministerium
GE/SUND/HEIs/MI/NIS/DJE/RI/UM Gesundheitsministerium
GE/SUND/HEIs/MNIS/DJRI/UM Gesundheitsministerium
NE/GA/DJFn negativen
NE/GA/DJI/FEN negativen
NE/GA/DJI/FWEN negativen
BDJNK/MEL/DU+N Meldung
MEL/DU+N Meldung
SEL/BEN selben
SELPn selben
BDJNK/NE+D/FLIKS Netflix
BDJNK/NED/FLIKS Netflix
NE+D/FLIKS Netflix
NED/FLIKS Netflix
AUF/GE/F~O/DEÜ+D aufgefordert
AUF/GE/F~O/DEÜD aufgefordert
AUF/GF~O/DEÜD aufgefordert
BDJNK/RÜK/DJRI+D Rücktritt
BDJNK/RÜK/DJRID Rücktritt
RÜK/DJRI+D Rücktritt
RÜK/DJRID Rücktritt
EKʃ/DJE echte
BDJNK/SDAÜS Stars
HEI+Sn heißen
HEISn heißen
SDAÜS Stars
GDON/GDRE/DJE konkrete
FO/R/BEÜ/GHEND vorübergehend
FO/R/BEÜ/GHND vorübergehend
FO/RÜ/BEÜ/GE/HEND vorübergehend
FWO/RÜ/BEÜ/GE/HEND vorübergehend
FEÜ/ÄN/DEÜN verändern
FWEÜ/ÄN/DEÜN verändern
FÄN/DEÜN verändern
EÜ/FÜL/LEN erfüllen
EÜ/FÜLn erfüllen
AN/GREI/FEÜ Angreifer
BDJNK/AN/GREI/FEÜ Angreifer
SHMEÜ/SDÄO+D zerstört
SHMEÜ/SDÄOD zerstört
SHMU/RÜK/GDEÜ/REN zurückkehren
SHMU/RÜK/GDEÜn zurückkehren
ÄU+/SEÜSD äußerst
ÄU/SEÜSD äußerst
AUS/GE/REKʃ/NE+D ausgerechnet
AUS/GE/REKʃ/NED ausgerechnet
AUS/GREKʃ/NED ausgerechnet
BDJNK/FW~O/BFRU+N Vorsprung
BDJNK/F~O/BFRU+N Vorsprung
FW~O/BFRU+N Vorsprung
F~O/BFRU+N Vorsprung
BDJNK/BDRI+NS Prinz
BDRI+NS Prinz
BDJNK/BFIL/DJAÜK Spieltag
BDJNK/BF~IL/DJAÜK Spieltag
BFIL/DJAÜK Spieltag
BF~IL/DJAÜK Spieltag
HAIN/WEÜK hinweg
GDLÄ/REN klären
GDLÄn klären
UN/DJEÜ/SJID/LIKʃ unterschiedlich
UN/DJEÜ/SJ~ID/LIKʃ unterschiedlich
BDJNK/FW~O/W~U+F Vorwurf
BDJNK/F~O/W~UF Vorwurf
FW~O/W~U+F Vorwurf
F~O/W~UF Vorwurf
BDJNK/BE/REI/SHJE Bereiche
BDJNK/BE/REI/SJE Bereiche
BDJNK/BREI/SJE Bereiche
BE/REI/SHJE Bereiche
BE/REI/SJE Bereiche
BREI/SJE Bereiche
+Sn/DJRA/LE zentrale
SHMEN/DJRA/LE zentrale
LI/FEÜD liefert
L~I/FEÜ+D liefert
BDJNK/RI/SI/GDEN Risiken
BDJNK/RI/SIKn Risiken
RI/SI/GDEN Risiken
GE/SDAL/DJEN gestalten
GE/SDAL/DJN gestalten
SJEI/NEN scheinen
SJEINn scheinen
F~O+D fort
F~OD fort
BDJNK/SJNEI/DEÜ Schneider
BDJNK/SNEI/DEÜ Schneider
SJNEI/DEÜ Schneider
SNEI/DEÜ Schneider
BDJNK/BDRÜ/FU+N Prüfung
BDRÜ/FU+N Prüfung
SHMU/SDÄN/DI/GE zuständige
EÜ/HEP/LIKʃ erheblich
BDA+D/RIK Patrick
BDAD/RIK Patrick
BDJNK/BDA+D/RIK Patrick
BDJNK/BDAD/RIK Patrick
BDJEI/LI/GU+N Beteiligung
BDJNK/BDJEI/LI/GU+N Beteiligung
BDJNK/BE/DJEI/LI/GU+N Beteiligung
BE/DJEI/LI/GU+N Beteiligung
BDJNK/BUN/DES/WEÜ Bundeswehr
BUN/DES/WEÜ Bundeswehr
BDJNK/WIND Wind
WIND Wind
HÄO+D hört
HÄOD hört
BDJNK/E+N/LAND England
BDJNK/NK/LAND England
E+N/LAND England
NK/LAND England
BDJNK/FI/NAN/SHMI/RU+N Finanzierung
BDJNK/FI/NAN/SHM~I/RU+N Finanzierung
FI/NAN/SHMI/RU+N Finanzierung
FI/NAN/SHM~I/RU+N Finanzierung
DEU+D/LI/SHJE deutliche
DEUD/LI/SJE deutliche
GD~U+/SHMEÜ kurzer
GD~U/SHMEÜ kurzer
BDJNK/EÜ/GDRAN/GDU+N Erkrankung
EÜ/GDRAN/GDU+N Erkrankung
BDJNK/LEU/DJEN Leuten
BDJNK/LEU/DJN Leuten
LEU/DJEN Leuten
LEU/DJN Leuten
BDJNK/INS/DJI/DJU+D Institut
BDJNK/INS/DJI/DJUD Institut
INS/DJI/DJU+D Institut
INS/DJI/DJUD Institut
BDJNK/NEU/BAU Neubau
NEU/BAU Neubau
BE/SJÄF/DJI/GEN beschäftigen
BE/SJÄF/DJKn beschäftigen
A/ME/RI/GDA/NI/SJE amerikanische
A/MRI/GDA/NI/SJE amerikanische
FEÜ/SJÄÜFD verschärft
UN/SE/RES unseres
UNSs/RES unseres
NO+D/WEN/DI/GEN notwendigen
NOD/WEN/DI/GEN notwendigen
NOD/WN/DKn notwendigen
BDJNK/SIK/NAL Signal
SIK/NAL Signal
RUFD ruft
FEÜ/GE/BEN vergeben
FEÜ/GPn vergeben
FWEÜ/GE/BEN vergeben
BDJNK/BF~U Spur
BDJNK/BF~U+ Spur
BF~U+ Spur
DJEKʃ/NI/SJEN technischen
DJEKʃ/NIʃn technischen
BDJNK/WAL/DJEÜ Walter
WAL/DJEÜ Walter
BE/REI/DJE+D bereitet
BE/REI/DJED bereitet
DJEIL teil
SWAÜ+Sn schwarzen
SWAÜ/SHMEN schwarzen
N~O/MA/LEÜ/WEI/SE normalerweise
N~O/MA/LEÜ/WEISs normalerweise
BDJNK/SA+N/DJI/O/NEN Sanktionen
BDJNK/SA+N/DJO/NEN Sanktionen
BDJNK/SA+N/DJONn Sanktionen
SA+N/DJI/O/NEN Sanktionen
SA+N/DJO/NEN Sanktionen
SA+N/DJONn Sanktionen
BDJNK/FEÜ/ÄOF/FEND/LI/SJU+N Veröffentlichung
BDJNK/FWEÜ/ÄOF/FE+ND/LI/SHJU+N Veröffentlichung
BDJNK/FÄOF/FEND/LI/SJU+N Veröffentlichung
BDJNK/FÄOF/FND/LI/SJU+N Veröffentlichung
FEÜ/ÄOF/FEND/LI/SJU+N Veröffentlichung
FWEÜ/ÄOF/FE+ND/LI/SHJU+N Veröffentlichung
FÄOF/FEND/LI/SJU+N Veröffentlichung
FÄOF/FND/LI/SJU+N Veröffentlichung
HUN/DEÜ+D hundert
HUN/DEÜD hundert
BDJNK/BRÜ/GDE Brücke
BRÜ/GDE Brücke
GEL/DJEN/DEN geltenden
GEL/DJN/DN geltenden
GE/HÄO/DJE gehörte
GHÄO/DJE gehörte
WEKʃ/SELN wechseln
EÜ/GDRÄ+ND erkrankt
BDJNK/GE/WEÜK/SJAFD Gewerkschaft
BDJNK/GWEÜK/SJAFD Gewerkschaft
GE/WEÜK/SJAFD Gewerkschaft
GWEÜK/SJAFD Gewerkschaft
DA/MA/LI/GEN damaligen
DA/MA/LIKn damaligen
BDJNK/MA/NÄʃD/ME+ND Management
BDJNK/MA/NÄʃD/MEND Management
BDJNK/MA/NÄʃD/MND Management
MA/NÄʃD/ME+ND Management
MA/NÄʃD/MEND Management
MA/NÄʃD/MND Management
REKʃD/SHMEI/DJIK rechtzeitig
BDJNK/FO/RAUS/SED/SHMU+Nn Voraussetzungen
BDJNK/FO/RAUS/SED/SHMUN/GEN Voraussetzungen
BDJNK/FWO/RAUS/SE+D/SHMUN/GEN Voraussetzungen
FO/RAUS/SED/SHMU+Nn Voraussetzungen
FO/RAUS/SED/SHMUN/GEN Voraussetzungen
FWO/RAUS/SE+D/SHMUN/GEN Voraussetzungen
BDJNK/BO/RIS Boris
BO/RIS Boris
DI/REK/DJEN direkten
DREK/DJEN direkten
DREK/DJN direkten
BDJNK/SI/GEÜ Sieger
BDJNK/S~I/GEÜ Sieger
SI/GEÜ Sieger
S~I/GEÜ Sieger
GDON/DJROL/L~I/REN kontrollieren
GDOND/ROL/LI/REN kontrollieren
GDOND/ROL/LIn kontrollieren
IN/DJEN/SF intensiv
IN/DJN/SF intensiv
BLEI/BE bleibe
D~U+F/DJEN durften
D~UF/DJEN durften
D~UF/DJN durften
DI/NEN dienen
DINn dienen
D~I/NEN dienen
GE/SUN/GDEN gesunken
GE/SUN/Kn gesunken
BDEU/DJEN bedeuten
BDEU/DJN bedeuten
BE/DEU/DJEN bedeuten
AP/SDANs/RE/GELN Abstandsregeln
BDJNK/AP/SDANs/RE/GELN Abstandsregeln
BDJNK/GDRÄF/DJE Kräfte
GDRÄF/DJE Kräfte
FEÜ/SUKʃ/DJEN versuchten
FEÜ/SUKʃ/DJN versuchten
FWEÜ/SUKʃ/DJEN versuchten
GREIFD greift
BDJNK/EIS Eis
EIS Eis
FAL/SJE falsche
DO+P/BDELD doppelt
DOP/BDELD doppelt
BDJNK/BDJREU/U+N Betreuung
BDJNK/BE/DJREU/U+N Betreuung
BDJNK/JNUS News
BDJREU/U+N Betreuung
BE/DJREU/U+N Betreuung
JNUS News
BDJNK/GDON/SHMEÜ+D Konzert
BDJNK/GDON/SHMEÜD Konzert
GDON/SHMEÜ+D Konzert
GDON/SHMEÜD Konzert
NOKʃ/MALS nochmals
GDEI/NEM keinem
BDJNK/UN/GAÜN Ungarn
UN/GAÜN Ungarn
HÄ+Nn hängen
HÄN/GEN hängen
BDJNK/GE/SWIN/DIK/GDEI+D Geschwindigkeit
BDJNK/GE/SWIN/DIK/GDEID Geschwindigkeit
GE/SWIN/DIK/GDEI+D Geschwindigkeit
GE/SWIN/DIK/GDEID Geschwindigkeit
GE/LEÜ+ND gelernt
GE/LEÜND gelernt
BDJNK/WOLF Wolf
BDAÜK/BDLA+S Parkplatz
BDJNK/BDAÜK/BDLA+S Parkplatz
NAKʃ/GE/WI/SEN nachgewiesen
NAKʃ/GE/W~I/SEN nachgewiesen
NAKʃ/GWI/SEN nachgewiesen
NAKʃ/GWISn nachgewiesen
BDJNK/WIS/SEN/SJAFD Wissenschaft
BDJNK/WISn/SJAFD Wissenschaft
WIS/SEN/SJAFD Wissenschaft
WISn/SJAFD Wissenschaft
BDJNK/BRAN/SHJEN Branchen
BDJNK/BRAN/SJEN Branchen
BDJNK/BRAN/SJN Branchen
BRAN/SHJEN Branchen
BRAN/SJEN Branchen
BRAN/SJN Branchen
BDJNK/LAND/W~ID/SJAFD Landwirtschaft
LAND/W~ID/SJAFD Landwirtschaft
AUS/GA/BE Ausgabe
BDJNK/AUS/GA/BE Ausgabe
BDJNK/EÜ/ÄOF/NU+N Eröffnung
BDJNK/RÄOF/NU+N Eröffnung
EÜ/ÄOF/NU+N Eröffnung
RÄOF/NU+N Eröffnung
ÄL/DJE/REN älteren
ÄL/DJREN älteren
ÄL/DJn älteren
HAL/BEN halben
HALPn halben
BDJNK/DJRAUM Traum
DJRAUM Traum
BDJNK/GDLI/MA/WAN/DEL Klimawandel
GDLI/MA/WAN/DEL Klimawandel
AN/GE/GDOM/MEN angekommen
AN/GE/GDOMn angekommen
BDJNK/NA/SE Nase
BDJNK/NASs Nase
NA/SE Nase
SDAM/MEN stammen
SDAMn stammen
SDE/GDEN stecken
SDEKn stecken
BDJNK/HA/MIL/DJON Hamilton
HA/MIL/DJON Hamilton
FEÜ/BRI+Nn verbringen
FEÜ/BRIN/GEN verbringen
FWEÜ/BRIN/GEN verbringen
MAS/SI/FEN massiven
MAS/SI/FWEN massiven
MAS/SIFn massiven
BDJNK/RE/DAK/DJI/ON Redaktion
BDJNK/RE/DAK/DJON Redaktion
RE/DAK/DJI/ON Redaktion
RE/DAK/DJON Redaktion
AP/GE/LEÜ+ND abgelehnt
AP/GE/LEÜND abgelehnt
AP/GLEÜND abgelehnt
EIN/SDEL/LEN einstellen
EIN/SDELn einstellen
BDJNK/HÄO/HE/BDU+ND Höhepunkt
HÄO/HE/BDU+ND Höhepunkt
GN~I+Sn genießen
GN~ISn genießen
BDJNK/EIN/BRUKʃ Einbruch
EIN/BRUKʃ Einbruch
NEU/AÜ/DJI/GEN neuartigen
NEU/AÜ/DJKn neuartigen
UM/GE/HEN umgehen
UM/GHEN umgehen
UM/GHN umgehen
BDJNK/WAÜK/NEÜ Wagner
WAÜK/NEÜ Wagner
BDJNK/FAL/SHMAÜ/LEN Fallzahlen
BDJNK/FAL/SHMAÜLn Fallzahlen
FAL/SHMAÜ/LEN Fallzahlen
FAL/SHMAÜLn Fallzahlen
BDJNK/FED/DJEL Vettel
BDJNK/FWE+D/DJEL Vettel
FED/DJEL Vettel
FWE+D/DJEL Vettel
BDJNK/MAIK Mike
BDJNK/BHIL/I+P Philipp
BDJNK/FIL/IP Philipp
BHIL/I+P Philipp
FIL/IP Philipp
FW~O/L~I/GEN/DEN vorliegenden
F~O/LI/GEN/DEN vorliegenden
F~O/LIKn/DN vorliegenden
DJEU/EÜ teuer
FREI/WIL/LIK freiwillig
BDJNK/GE/FÄ+N/NIS Gefängnis
BDJNK/GFÄ+N/NIS Gefängnis
GE/FÄ+N/NIS Gefängnis
GFÄ+N/NIS Gefängnis
BDJNK/DJEIL/NEÜ/MEÜN Teilnehmern
DJEIL/NEÜ/MEÜN Teilnehmern
BDJNK/SDAD/DJ/DJEIL Stadtteil
BDJNK/SDAD/DJEIL Stadtteil
SDAD/DJ/DJEIL Stadtteil
SDAD/DJEIL Stadtteil
BDJNK/FEÜ/GDEÜS/UN/FAL Verkehrsunfall
BDJNK/FEÜ/GDEÜS/UN/FAL/L Verkehrsunfall
BDJNK/FWEÜ/GDEÜS/UN/FAL/L Verkehrsunfall
FEÜ/GDEÜS/UN/FAL Verkehrsunfall
FEÜ/GDEÜS/UN/FAL/L Verkehrsunfall
FWEÜ/GDEÜS/UN/FAL/L Verkehrsunfall
ME/DI/SHMI/NI/SJEN medizinischen
ME/DI/SHMI/NIʃn medizinischen
BDJNK/SE/E/HO/FEÜ Seehofer
BDJNK/SEs/HO/FEÜ Seehofer
SE/E/HO/FEÜ Seehofer
SEs/HO/FEÜ Seehofer
BE/WEÜKD bewegt
BWEÜKD bewegt
BDJNK/SDA/DJIS/DJIK Statistik
SDA/DJIS/DJIK Statistik
BDJNK/FA/RI/AN/DJE Variante
BDJNK/FWA/RI/AN/DJE Variante
FA/RI/AN/DJE Variante
FWA/RI/AN/DJE Variante
BDN/SJID entschied
E+ND/SJ~ID entschied
END/SJID entschied
BDJNK/SJÜ/LEÜN Schülern
SJÜ/LEÜN Schülern
BDJNK/GDI/NO Kino
GDI/NO Kino
BDJNK/DI/REK/DJ~O Direktor
BDJNK/DREK/DJ~O Direktor
DI/REK/DJ~O Direktor
DREK/DJ~O Direktor
EÜ/SHMÄÜ/LEN erzählen
EÜ/SHMÄÜLn erzählen
BDJNK/DIS/GDUS/SI/O/NEN Diskussionen
BDJNK/DIS/GDUS/SI/ONn Diskussionen
DIS/GDUS/SI/O/NEN Diskussionen
DIS/GDUS/SI/ONn Diskussionen
ÄN/DEÜ+D ändert
ÄN/DEÜD ändert
FAP/SJI/DED verabschiedet
FEÜ/AP/SJI/DED verabschiedet
FWEÜ/AP/SJ~I/DE+D verabschiedet
LA+N/FRIS/DJIK langfristig
RO/DJEN roten
RO/DJN roten
BDJNK/JAÜ/HUN/DEÜ+D Jahrhundert
BDJNK/JAÜ/HUN/DEÜD Jahrhundert
JAÜ/HUN/DEÜ+D Jahrhundert
JAÜ/HUN/DEÜD Jahrhundert
EI/NIK einig
BDJNK/DE/MONS/DJRA/DJI/ON Demonstration
BDJNK/DE/MONSD/RA/DJI/ON Demonstration
BDJNK/DE/MONSD/RA/DJON Demonstration
BDJNK/DMONSD/RA/DJON Demonstration
DE/MONS/DJRA/DJI/ON Demonstration
DE/MONSD/RA/DJI/ON Demonstration
DE/MONSD/RA/DJON Demonstration
DMONSD/RA/DJON Demonstration
BDJNK/BEÜ/RA/SJU+N Überraschung
BDJNK/Ü/BEÜ/RA/SJU+N Überraschung
BEÜ/RA/SJU+N Überraschung
Ü/BEÜ/RA/SJU+N Überraschung
BDJNK/JAÜ/RES/EN/DE Jahresende
BDJNK/JAÜ/RESn/DE Jahresende
BDJNK/SJRI/EN Syrien
BDJNK/SJRIn Syrien
JAÜ/RES/EN/DE Jahresende
JAÜ/RESn/DE Jahresende
SJRIn Syrien
FAN van
FWAN van
BDJNK/DÜS/B~UK Duisburg
BDJNK/RES/BDEKD Respekt
DÜS/B~UK Duisburg
RES/BDEKD Respekt
AK/DJI/O/NEN Aktionen
AK/DJO/NEN Aktionen
AK/DJONn Aktionen
BDJNK/AK/DJI/O/NEN Aktionen
BDJNK/AK/DJO/NEN Aktionen
BDJNK/AK/DJONn Aktionen
FEÜ/FOL/GEN verfolgen
FEÜ/FOLKn verfolgen
FWEÜ/FOL/GEN verfolgen
BE/SE+SD besetzt
SAM/MELN sammeln
BDJNK/MES/SEÜ Messer
MES/SEÜ Messer
BDJNK/HALP/JAÜ Halbjahr
HALP/JAÜ Halbjahr
LE+S/DJEÜ letzter
BDJNK/LU/GDA/SJEN/GDO Lukaschenko
BDJNK/LU/GDAʃn/GDO Lukaschenko
LU/GDA/SJEN/GDO Lukaschenko
LU/GDAʃn/GDO Lukaschenko
BDJNK/SDEL/LU+N/NAÜ/ME Stellungnahme
SDEL/LU+N/NAÜ/ME Stellungnahme
EIN/GE/LA/DEN eingeladen
EIN/GLA/DEN eingeladen
EIN/GLA/DN eingeladen
GE/NAN/DJEN genannten
GNAN/DJEN genannten
GNAN/DJN genannten
AUS/EIN/AN/DEÜ/SE+D/SHMU+N Auseinandersetzung
AUS/EIN/AN/DEÜ/SED/SHMU+N Auseinandersetzung
BDJNK/AUS/EIN/AN/DEÜ/SE+D/SHMU+N Auseinandersetzung
BDJNK/AUS/EIN/AN/DEÜ/SED/SHMU+N Auseinandersetzung
GE/WAÜ+ND gewarnt
GE/WAÜND gewarnt
GWAÜND gewarnt
BDJNK/SWI/RIK/GDEI/DJEN Schwierigkeiten
BDJNK/SWI/RIK/GDEI/DJN Schwierigkeiten
BDJNK/SW~I/RIK/GDEI/DJEN Schwierigkeiten
SWI/RIK/GDEI/DJEN Schwierigkeiten
SWI/RIK/GDEI/DJN Schwierigkeiten
SW~I/RIK/GDEI/DJEN Schwierigkeiten
BDRÄI/NI/REN trainieren
BDRÄI/NIn trainieren
BDRÄI/N~I/REN trainieren
BDJNK/R+D/L RTL
BDJNK/RD/L RTL
R+D/L RTL
RD/L RTL
DE/FI/NI/DJF definitiv
BDJNK/FAÜ/SHMEU/GEN Fahrzeugen
BDJNK/FAÜ/SHMEUKn Fahrzeugen
FAÜ/SHMEU/GEN Fahrzeugen
FAÜ/SHMEUKn Fahrzeugen
BDJNK/BO/SHJUM Bochum
BDJNK/BO/SJUM Bochum
BO/SHJUM Bochum
BO/SJUM Bochum
BDJNK/~O/GA/NI/SA/DJI/O/NEN Organisationen
BDJNK/~O/GA/NI/SA/DJO/NEN Organisationen
BDJNK/~O/GA/NI/SA/DJONn Organisationen
~O/GA/NI/SA/DJI/O/NEN Organisationen
~O/GA/NI/SA/DJO/NEN Organisationen
~O/GA/NI/SA/DJONn Organisationen
BDJNK/MA/NU/EL Manuel
MA/NU/EL Manuel
BDJNK/DI/DJEÜ Dieter
BDJNK/D~I/DJEÜ Dieter
DI/DJEÜ Dieter
D~I/DJEÜ Dieter
FEÜ/DI/NEN verdienen
FEÜ/DINn verdienen
FWEÜ/D~I/NEN verdienen
BDJNK/FAÜ/RAD Fahrrad
FAÜ/RAD Fahrrad
BDJNK/DJES/LA Tesla
DJES/LA Tesla
NÜM/F+P/ÄO FPÖ
NÜM/FP/ÄO FPÖ
HAL/BE halbe
OF/FI/SHMI/EL/LE offizielle
UM/SO umso
BDJNK/BON Bonn
FEÜ/BFRIKʃD verspricht
AÜ/MIN Armin
BDJNK/AÜ/MIN Armin
BE/FAND befand
AN/GDÜN/DI/GU+N Ankündigung
BDJNK/AN/GDÜN/DI/GU+N Ankündigung
I/DJA/LI/E/NI/SJEN italienischen
I/DJA/LI/E/NIʃn italienischen
HIL/DJEN hielten
HIL/DJN hielten
H~IL/DJEN hielten
SDÄÜ/GDEN stärken
SDÄÜKn stärken
BDJNK/FWOLK Volk
FWOLK Volk
BDJNK/WEP/SAI+D Website
BDJNK/WEP/SAID Website
WEP/SAI+D Website
WEP/SAID Website
WEL/SHJEM welchem
AN/GE/SDEKD angesteckt
BDJNK/E/HE/FRAU Ehefrau
E/HE/FRAU Ehefrau
BE/F~ÜKʃ/DJE+D befürchtet
BE/F~ÜKʃ/DJED befürchtet
BF~ÜKʃ/DJED befürchtet
BDJNK/DJÜ/REN Türen
BDJNK/DJÜn Türen
DJÜ/REN Türen
DJÜn Türen
BDJNK/GDRI/DJI/GDEÜ Kritiker
GDRI/DJI/GDEÜ Kritiker
AN/DJRÄ/GE Anträge
BDJNK/AN/DJRÄ/GE Anträge
BDJNK/MID/DJEL/BDU+ND Mittelpunkt
MID/DJEL/BDU+ND Mittelpunkt
FEÜ/LE+S/DJE verletzte
FLE+S/DJE verletzte
FWEÜ/LE+S/DJE verletzte
RU/HIK ruhig
SDO+P/BDEN stoppen
SDOP/BDEN stoppen
MI+D/DJELS mittels
MID/DJELS mittels
BDJNK/GDAM/BDAÜK/NE Kampagne
GDAM/BDAÜK/NE Kampagne
BDJNK/SJÜ/LE/RIN/NEN Schülerinnen
BDJNK/SJÜ/LE/RINn Schülerinnen
SJÜ/LE/RIN/NEN Schülerinnen
SJÜ/LE/RINn Schülerinnen
BES/SE/REN besseren
BES/Ss/n besseren
BDJNK/DJA+D/SA/SHJE Tatsache
BDJNK/DJAD/SA/SJE Tatsache
DJA+D/SA/SHJE Tatsache
DJAD/SA/SJE Tatsache
EIN/GE/LEI/DJE+D eingeleitet
EIN/GE/LEI/DJED eingeleitet
BDJNK/BDRO/BLE/MEN Problemen
BDJNK/BDRO/BLEMn Problemen
BDRO/BLE/MEN Problemen
BDRO/BLEMn Problemen
GDÄMPFD kämpft
FALS falls
BDJNK/JO/SEF Josef
JO/SEF Josef
REI/SEN reisen
REISn reisen
RIKʃ/DJE+D richtet
RIKʃ/DJED richtet
SEI+D/DEM seitdem
SEID/DEM seitdem
UM/GE/HEND umgehend
UM/GHEND umgehend
UM/GHND umgehend
BDJNK/BDRE/ME/RE Premiere
BDJNK/BDRE/MI/E/RE Premiere
BDRE/ME/RE Premiere
BDRE/MI/E/RE Premiere
GE/NE/REL generell
GE/NE/REL/L generell
GNE/REL generell
BDJNK/EÜ/GDEND/NIS/SE Erkenntnisse
BDJNK/EÜ/GDNND/NIS/Ss Erkenntnisse
EÜ/GDEND/NIS/SE Erkenntnisse
EÜ/GDNND/NIS/Ss Erkenntnisse
BDJNK/BEÜND Bernd
BEÜND Bernd
ÄÜN/LI/SHJE ähnliche
ÄÜN/LI/SJE ähnliche
WIKʃ/DJIKS/DJE wichtigste
BDJNK/GDON/FLIKD Konflikt
GDON/FLIKD Konflikt
END/GÜL/DJIK endgültig
ND/GÜL/DJIK endgültig
SJAU+D schaut
SJAUD schaut
SIKʃD/BAÜ sichtbar
BDJNK/DJEÜ/MI/NE Termine
BDJNK/DJEÜ/MNE Termine
DJEÜ/MI/NE Termine
DJEÜ/MNE Termine
BDJNK/LAND/RA+D Landrat
BDJNK/LAND/RAD Landrat
LAND/RA+D Landrat
LAND/RAD Landrat
BDJNK/BRA/SI/LI/EN Brasilien
BDJNK/BRA/SI/LIn Brasilien
BRA/SI/LI/EN Brasilien
BRA/SI/LIn Brasilien
FEÜ/~U/SAKʃD verursacht
F~U/SAKʃD verursacht
FI/LEN fielen
F~I/LEN fielen
JE+D/SHMI/GEN jetzigen
JED/SHMI/GEN jetzigen
JED/SHMIKn jetzigen
SWAÜ/SHME schwarze
EÜ/WEI/DJEÜ+D erweitert
EÜ/WEI/DJEÜD erweitert
BDJNK/NI/DEÜ/ÄOS/DJEÜ/REIKʃ Niederösterreich
BDJNK/NI/DRÄOS/DJEÜ/REIKʃ Niederösterreich
BDJNK/N~I/DEÜ/ÄOS/DJEÜ/REIKʃ Niederösterreich
NI/DEÜ/ÄOS/DJEÜ/REIKʃ Niederösterreich
NI/DRÄOS/DJEÜ/REIKʃ Niederösterreich
N~I/DEÜ/ÄOS/DJEÜ/REIKʃ Niederösterreich
GE/NE/SEN genesen
GNE/SEN genesen
GNESn genesen
BDJNK/GASD/GE/BEÜ Gastgeber
GASD/GE/BEÜ Gastgeber
GDLEIN klein
SJLEKʃ/DJEÜ schlechter
SLEKʃ/DJEÜ schlechter
UM/FASD umfasst
BDJNK/GDON/DJAKD/BDEÜ/SO/NEN Kontaktpersonen
BDJNK/GDON/DJAKD/BDEÜ/SONn Kontaktpersonen
BDJNK/O/LAF Olaf
GDON/DJAKD/BDEÜ/SO/NEN Kontaktpersonen
GDON/DJAKD/BDEÜ/SONn Kontaktpersonen
O/LAF Olaf
BDJNK/MUND/SJU+S Mundschutz
MUND/SJU+S Mundschutz
BDJNK/INS/BRUK Innsbruck
INS/BRUK Innsbruck
BDE/GDI+N Peking
BDJNK/BDE/GDI+N Peking
GDOM/BDLE+D/DJE komplette
GDOM/BDLED/DJE komplette
BDJNK/FRAK/DJI/ON Fraktion
BDJNK/FRAK/DJON Fraktion
FRAK/DJI/ON Fraktion
FRAK/DJON Fraktion
BDJNK/RE/BDUP/LI/GDA/NEÜ Republikaner
FEÜ/GDÜN/DED verkündet
FWEÜ/GDÜN/DE+D verkündet
RE/BDUP/LI/GDA/NEÜ Republikaner
BDJREI+PD betreibt
BE/DJREI+PD betreibt
BDJNK/BDRES/SE/MI+D/DJEI/LU+N Pressemitteilung
BDJNK/BDRES/SE/MID/DJEI/LU+N Pressemitteilung
BDJNK/BDRES/Ss/MID/DJEI/LU+N Pressemitteilung
BDRES/SE/MI+D/DJEI/LU+N Pressemitteilung
BDRES/SE/MID/DJEI/LU+N Pressemitteilung
BDRES/Ss/MID/DJEI/LU+N Pressemitteilung
WAÜF warf
BDJNK/LUD/WIK Ludwig
LUD/WIK Ludwig
SD~Ü+S/DJE stürzte
GE/RID geriet
GRID geriet
BAN/DJRAÜKD beantragt
BE/AN/DJRAÜKD beantragt
AUS/GLEIKʃ Ausgleich
BDJNK/AUS/GLEIKʃ Ausgleich
BDJNK/MEIS/DJEÜ/SJAFD Meisterschaft
MEIS/DJEÜ/SJAFD Meisterschaft
BDJNK/RÜK/SDAND Rückstand
RÜK/SDAND Rückstand
SDÄD/DJI/SJEN städtischen
SDÄD/DJʃn städtischen
SHMEI+D/WEI/SE zeitweise
SHMEID/WEI/SE zeitweise
SHMEID/WEISs zeitweise
WI/DEÜ/HOLD wiederholt
BDJNK/BEÜK Berg
BEÜK Berg
BDJNK/WELD/MEIS/DJEÜ Weltmeister
WELD/MEIS/DJEÜ Weltmeister
BA/JEÜNS Bayerns
BDJNK/BA/JEÜNS Bayerns
BDJNK/DJI+PS Tipps
BDJNK/DJIPS Tipps
DJI+PS Tipps
DJIPS Tipps
WELD/WEI/DJEN weltweiten
WELD/WEI/DJN weltweiten
BDJNK/BI/LE/FELD Bielefeld
BDJNK/B~I/LE/FELD Bielefeld
BDJNK/LUSD Lust
BI/LE/FELD Bielefeld
B~I/LE/FELD Bielefeld
DI/JE/NI/GEN diejenigen
DI/JE/NIKn diejenigen
D~I/JE/NI/GEN diejenigen
LUSD Lust
E/HE ehe
O+P/DJI/MIS/DJIʃ optimistisch
