DEÜ der
BHA/SEN Phasen
FEÜ/SJÄÜF/DJN verschärften
BAK/DJRIn Bakterien
BRUF/LIKʃ beruflich
FEI/EÜ/DJA/GE Feiertage
SJUL/SHME Schulze
FSn/DED versendet
WELD/W~ID/SJAFD Weltwirtschaft
BE/SHMEIKʃ/NU+N Bezeichnung
FEÜ/GA+Nn vergangen
NAKʃ/WEIS Nachweis
GDRÜKD gedrückt
SHMU/LEÜKn zulegen
EKS/DJEÜ/NE externe
SHMU/GU/DJE zugute
GDA/BDU+D kaputt
GE/SLEKʃD Geschlecht
GE/SDIMD gestimmt
UN/DJEÜ/BRE/SHJU+N Unterbrechung
EMP/FA+N Empfang
GO+D/DJES Gottes
F~OD/NU+Nn Verordnungen
GDM km
SI/SJEÜ/HEIs/BHÄO/DN Sicherheitsbehörden
WID/MN widmen
GDA/DJE Kate
NÜM/BI+P BIP
R~I/SIK riesig
MEÜ/WEÜ+D/SDEU/EÜ Mehrwertsteuer
EKS/BDEÜ/DJSs Expertise
BFEÜD Pferd
EÜ/HEPn erheben
AÜKn/DJNIn Argentinien
GD~Ü/SHMES/DJEÜ kürzester
INS/DJAL/LIn installieren
GEI/GEÜ Geiger
SDIKʃ/WAÜL Stichwahl
A/NA/LI/SIn analysieren
NAKʃ/BF~IL/SHMEI+D Nachspielzeit
EIN/FEÜ/SDAN/DN einverstanden
MÜ/DE müde
BLIP/DJES/DJN beliebtesten
MLI/DJÄ/RIʃn militärischen
JUFn/DJUS Juventus
UM/GE/SDELD umgestellt
GDÄO/NI/GIN Königin
R~U/GE/B~I+D Ruhrgebiet
WEI/DJEM weitem
AUS/SHMÄÜ/LU+N Auszählung
SD~IM Steam
H~I/SHMU hierzu
FEÜ/HEs/n/DN verheerenden
JE/SUS Jesus
BDND/LEÜ Pendler
REISs/BE/SRÄN/GDU+Nn Reisebeschränkungen
D~I/SEL/BE dieselbe
RUND/FU+N Rundfunk
BE/SDAN/DN bestanden
EÜ/SWEÜ+D erschwert
LAU/FND laufend
HAM Hamm
SDAÜs/B~Ü/GEÜ Staatsbürger
DR~ONn Drohnen
ND/BFIL Endspiel
GRÜS/DJED gerüstet
D~I/GO Diego
SEK/DJ~O Sektor
GE/EÜ+D geehrt
GDEÜn kehren
GD~O/LE Kohle
DAS/SEL/BE dasselbe
SDREI/DJN streiten
GE/NUSs Genuss
IM/MU/NI/DJÄ+D Immunität
GE/GDÜN/DIKD gekündigt
FRAN/SHMIS/GDMO Francisco
SÄ+D/SHME Sätze
ÄÜ/GEÜ+D ärgert
WAn/D~OF Warendorf
BUN/DJN bunten
BE/GEIS/DJEÜN begeistern
SWE/Dʃn schwedischen
MD/RO/BDO/LE Metropole
BNÄO/DJIK/DJE benötigte
GE/SDÄO+D gestört
RE/GEL/MÄÜ/SI/GE regelmäßige
FEÜ/SDEKn verstecken
EIN/GE/BAU+D eingebaut
IS/RA/ELS Israels
EIN/GE/SLAÜKn eingeschlagen
GDON/SEÜ/FA/DJFn konservativen
AL/MÄÜ/LIKʃ allmählich
WUN/DEÜ/BAÜ wunderbar
GDMO/OL cool
SHMIM/MEÜ/MA+N Zimmermann
HAND/WEÜ/GDEÜ Handwerker
MNI/MIn minimieren
FAUSD Faust
AÜ/SJI/DJEK/DJN Architekten
UN/GWÄON/LI/SJE ungewöhnliche
SWI+Nn zwingen
SHMEÜ/SDÄOn zerstören
BEÜ/WUN/DN überwunden
SEID seid
FWEÜ/EI+ND vereint
NAKʃ/DJEI/LE Nachteile
BR~I/FE Briefe
GE/WAND/DJ gewandt
SWE/DI/SJE schwedische
IN/NO/FA/DJONn Innovationen
U+ Ulm
GÜNS/DJKn günstigen
FWEISn verweisen
AUS/SDEL/LU+Nn Ausstellungen
DEM/BDN/BFRE/SJND dementsprechend
IN/NO/FWA/DJI/FWE innovative
SLO/WE/NIn Slowenien
AP/HAL/DJN abhalten
FWAN/DELD verwandelt
SRIFD/LIKʃ schriftlich
WAÜKn wagen
AU+Sn/MNIS/DJRI/UM Außenministerium
AUF/SRIFD Aufschrift
SEI/FEÜ+D Seifert
BRAKʃn brachen
BDEÜ/SÄON/LIKʃ/GDEI+D Persönlichkeit
DJIN/A/GEÜ Teenager
SOM/MEÜ/BDAUSs Sommerpause
BFRAÜK/DJN befragten
RIFn riefen
EIN/SDEIKn einsteigen
GDOM/BDE/DJN+Sn Kompetenzen
WEI/DJESD/GHND weitestgehend
GE/LI+D/DJEN gelitten
BD~O+D/FO/JLO Portfolio
IMPF/SDOFs Impfstoffs
DEU/DJN deuten
DJAD/SÄKʃ/LIKʃn tatsächlichen
ÄOF/FE+ND/LI/SHJEÜ öffentlicher
GE/SLOS/Ss/NE geschlossene
GD~U+/SHMEÜ/HAND kurzerhand
AMS AMS
FLEÜKn verlegen
SJÜ/LE/RIN Schülerin
FIʃ Fisch
SJÄON/HEI+D Schönheit
BEÜ/RA/SJU+Nn Überraschungen
BF~OD/AÜ/DJN Sportarten
BRUF/LI/SJE berufliche
BAU/DJE baute
BWEISD beweist
JE+D/SHMI/GE jetzige
SJU+S/GDLEI/DU+N Schutzkleidung
EI/GNEM eigenem
FEI/EÜ/DJAÜKn Feiertagen
GDOM/BDE/DJE+NS Kompetenz
SDRAF/AN/SHMEI/GE Strafanzeige
SDÄO/RU+N Störung
MID/GLID/SJAFD Mitgliedschaft
HJ/GI/NE/F~O/SRIF/DJN Hygienevorschriften
FEÜ/DJIK/GE/SDELD fertiggestellt
GDLI/MAÜ/GDRISs Klimakrise
FI+N fing
HAFD/SDRA/FE Haftstrafe
AUS/GE/GLIKʃn ausgeglichen
UM/WELD/SJU+S Umweltschutz
BDA/RA+D parat
F~O+D/AN fortan
A/G~I+D agiert
BE/SDRID/DJN bestritten
GDON/JU+N/DJ~U/BDAÜ/GDED Konjunkturpaket
GE/GRÜN/DE/DJE gegründete
IN/DREKD indirekt
UN/EÜ/WAÜ/DJE+D unerwartet
NEPn/BEI nebenbei
HAÜD/WÄ Hardware
EIN/GREIFn eingreifen
AUS/F~Ü/LIKʃ ausführlich
RE/ALn realen
NAÜ/RU+N Nahrung
BFRA+N sprang
SHMU/GDÜNF/DJKn zukünftigen
BDJNN/FEU/EÜ/WEÜK Feuerwerk
BFE/SHMA/LIS/DJN Spezialisten
RAÜ/GDE/DJN Raketen
MLI/DJÄ/RI/SJE militärische
NÄOD/LIKʃ nördlich
BE/SDEL/LU+N Bestellung
GDMREF Crew
AD/DJAKn Attacken
EÜ/HE/BU+N Erhebung
BFI/DJÄ/LEÜ Spitäler
WÜ/DJND wütend
FAKʃ/GDRÄF/DJE Fachkräfte
MI+D/LE/RE mittlere
AP/LÄU/FE Abläufe
DJEÜ/RAS/Ss Terrasse
LÄI/ON Lyon
EIN/SHMU/SDELn einzustellen
RÄ/DEÜ Räder
GÄIs Gates
GE/WÄO+ND gewöhnt
HAIN/RUN/DE Hinrunde
GFA+Nn gefangen
A/NA/LISs/HAUS Analysehaus
D~INSD/LEIS/DJEÜ Dienstleister
AN/HAL/DJN anhalten
SDAD/HAL/LE Stadthalle
DJÄOKʃ/DJEÜ Töchter
GE/SDA+D/DJE+D gestattet
SELPSD/FEÜ/DJRAUn Selbstvertrauen
HAI+/LAIs Highlights
NÜM/ND/R NDR
SJUL/SL~I/SU+Nn Schulschließungen
BFRE/SHJE spreche
DJRAUn trauen
IN/FEK/DJONS/FÄL/LE Infektionsfälle
AUF/AÜ/BEI/DJU+N Aufarbeitung
BDEKD bedeckt
F~O/WI/GND vorwiegend
HAL/DJE/SDEL/LE Haltestelle
REKʃs/AN/WALD Rechtsanwalt
BEINn Beinen
HU/BEÜ+D Hubert
FEÜ/SJAFD verschafft
SO/BHJA Sophia
RAS/SIS/DJʃn rassistischen
WED/GDAMPF Wettkampf
LOKn locken
GFÄÜ/DU+N Gefährdung
GDLE/FWE Kleve
RALPF Ralph
GWÄÜn gewähren
GDMOD Code
LU/BDE Lupe
MEILn/SDEIN Meilenstein
SJRIS/DJNA Christina
MIN/DEÜ/HEI+D Minderheit
LOS/GHN losgehen
BFE/SHMA/LI/S~ID spezialisiert
UM/FAS/SND umfassend
BMÜ/HN bemühen
ROLD rollt
FMEL/DED vermeldet
ÄÜ+S/DJIN Ärztin
NEU/IK/GDEI/DJN Neuigkeiten
EÜ/LAUP/NIS Erlaubnis
BEÜ/MID/DJELD übermittelt
MID/GNOMn mitgenommen
REKʃ/NE rechne
AN/DEÜS/WO anderswo
AUF/GDOMn aufkommen
SMI+D Smith
GDON/SO/LE Konsole
EÜ/GAPn ergaben
ÄO+D/LI/SHJE örtliche
AUS/GRUFn ausgerufen
GDON/DJROL/L~I/DJN kontrollierten
A/NA/LISn Analysen
DMN/SI/ON Dimension
RE/G~I+D regiert
GDON/SEÜ/FWA/DJI/FWE konservative
BDJNN/JA+N Young
FMEIND/LI/SJE vermeintliche
RE/A/G~I/DJN reagierten
AF/FÄ/RE Affäre
F~U+S/GÄN/GEÜ/SHMO/NE Fußgängerzone
BFI/DJÄ/LEÜN Spitälern
SJAF/FU+N Schaffung
RAS/SIS/DJI/SJE rassistische
SLUS/FASs Schlussphase
S~O/NES Sohnes
SWEÜS/DJN schwersten
FL~I+SD fließt
LA+P/DJO+P Laptop
GRA/FIK Grafik
BAÜ/BEI/DJED bearbeitet
W~Ü+S/B~UK Würzburg
GE/SUND/HEI+D/LI/SHJE gesundheitliche
RE/GEL/REKʃD regelrecht
BE/SHMAÜ/LU+N Bezahlung
GE/SJÄFs/MO/DEL Geschäftsmodell
FWE/HE/ME+ND vehement
NÜM/AD/A+K ADAC
AÜ/SHJI/DJEK/DJ~U+ Architektur
RI/FALn Rivalen
AUS/GA+NS/BFRn Ausgangssperren
HAND/BAL Handball
HOP/BJ Hobby
JAÜ/GA+N Jahrgang
BDRO/SIPn ProSieben
HAIS/DJO/RI/GDEÜ Historiker
JAÜ/RES/DJAÜK Jahrestag
BDEN/SJL/FA/JNA Pennsylvania
GRÄO/SE/REÜ größerer
GDAL/DJN kalten
AÜ/BEIs/LOS arbeitslos
SI/SHJEÜ/HEIs/AP/SDAND Sicherheitsabstand
DJEÜ/RO/RIS/DJN Terroristen
GDOM/BDONn/DJN Komponenten
EIK/NE+D eignet
FIN/LAND Finnland
BE/R~Ü+D berührt
AUS/WÄÜs auswärts
GRÜN/DE/DJE gründete
BRAND/SDIF/DJU+N Brandstiftung
SWE/RIN Schwerin
BE/SLOS/Ss/NE beschlossene
EÜ/GDRÄ+N/DJE erkrankte
A/DJN Athen
LO/GIS/DJIK Logistik
HÄÜ/DJEÜ härter
DJÄ/DJIK/GDEI/DJN Tätigkeiten
GDÄN/GDE Gedanke
AP/HÄN/GIK/GDEI+D Abhängigkeit
AN/DREI Andrej
SI/GNA/LI/S~I+D signalisiert
BDRO/DJA/GO/NIS/DJN Protagonisten
E/LI+S/A/BE+D Elizabeth
JO/SE+F Joseph
WI+S Witz
BRÜK/SIKʃ/DJI/GU+N Berücksichtigung
GLE/GNn gelegenen
GD~IKʃn/GMEIN/DE Kirchengemeinde
SDÄOn stören
LAND/GDREISn Landkreisen
WÄL/DEÜ Wälder
BHOPn behoben
BUN/DES/LI/GIS/DJN Bundesligisten
BDRO/FIL Profil
BES/Ss/RES besseres
EÜ/GÄN/+Sn ergänzen
DJON/NE Tonne
FLEI/HN verleihen
GDMAM/BDUS Campus
DA/FWOS Davos
BDRES/Ss/BFRE/SJEÜ Pressesprecher
BDOL/NI/SJE polnische
Ü/BU+N Übung
FRÜKD verrückt
WO/HEÜ woher
LE/BNS/GFAÜ Lebensgefahr
GNE/RALSs/GDRE/DJÄÜ Generalsekretär
AÜ/GAU/EÜ Aargauer
BAD/MED beatmet
HE/RUN/DJEÜ herunter
BRU/HIKD beruhigt
EIN/NEÜMn einnehmen
FW~O/DJRAÜK Vortrag
AN/SL~I+Sn/DN anschließenden
MI+D/BF~I/LEÜ Mitspieler
SI/MO/NE Simone
GE/SEL/SJAF/DJN Gesellschaften
SAU/EÜ sauer
DJO/DES/FÄLn Todesfällen
SDRA/DJE/GIʃn strategischen
IN/DUS/DJRI/AL Industrial
BDJNN/~O Ohr
AUF/WEISn aufweisen
WAÜ/NEÜMn wahrnehmen
AD/RI/AN Adrian
BIP/JLO/BHJEK Bibliothek
WOLFs/B~U+/GEÜ Wolfsburger
BLAUFn belaufen
LE/BE lebe
SLO/WAÜ/GDEI Slowakei
IS/LAM Islam
H~Ü/DE Hürde
EISs/NAKʃ Eisenach
O/RIn/DJ~ID orientiert
AUS/DJRA/LIʃn australischen
GREISD gereist
N~I/MAN/DEM niemandem
GASD/SDÄ+D/DJE Gaststätte
EKS/BDE/RI/ME+ND Experiment
FEÜ/BFLIKʃ/DJU+Nn Verpflichtungen
LU/I Louis
WAÜ/NU+Nn Warnungen
GE/SDEI/GEÜ+D gesteigert
AUS/FL~UK Ausflug
FWEÜ/GDAUF/DJE verkaufte
GDA/BDI/DJA/LIS/MUS Kapitalismus
W~I+D/SJAFs/LEIS/DJU+N Wirtschaftsleistung
BAÜ/REL Barrel
F~O/GSs/HENn vorgesehenen
GDMA/RI/DJAS Caritas
DJI/DJEL/FWEÜ/DJEI/DI/GEÜ Titelverteidiger
AKD Akt
INS/DJI/DJU/DJON Institution
SHJEL/SI/US Celsius
IN/SHME/N~I/RU+N Inszenierung
BRU/HIKn beruhigen
UN/DJEÜ/SDRIKʃ unterstrich
E/MO/DJO/NA/LE emotionale
IMPF/DOSn Impfdosen
HUN/DEÜ/DJE hunderte
MAKʃ/BAÜ machbar
AUS/GE/SDRAÜLD ausgestrahlt
SDAÜ+D/SJUSs Startschuss
GHOFD gehofft
SDAÜs/RE/GI/RU+N Staatsregierung
AUS/GE/BIL/DE+D ausgebildet
AN/DJO/JNO Antonio
AUKn/BLIK Augenblick
HN/DRIK Hendrik
AP/GLAU/FENn abgelaufenen
AN/GRUFn angerufen
BDÜ+ND/LIKʃ pünktlich
SHMU/RÜK/LIKn/DN zurückliegenden
GDOKʃn kochen
N~OD/HAUSn Nordhausen
WEIP/LI/SHJE weibliche
GDON/DJNEND Kontinent
BE/GDWEM bequem
SDJÄI/SHJIʃ psychisch
DA+N/DJE dankte
SJAF/HAUSn Schaffhausen
DO/MN~ID dominiert
BFÄ/DJRE spätere
LI+NS/BDAÜ/DJEI Linkspartei
MNʃn/LEPn Menschenleben
WAÜ/DJE/SHMEI/DJN Wartezeiten
E/FAN/GLIʃn evangelischen
MUS/LI/ME Muslime
MÜL/HEIM Mülheim
AN/B~I/DJE+D anbietet
GAKʃ/DJED geachtet
DJ~IM/SHJEF Teamchef
RE/SEÜ/FWE Reserve
SU/BDEÜ/MÄÜK/DJE Supermärkte
SHMU/NEÜMn/DE zunehmende
~O/GA/NI/S~I/DJN organisierten
SJEI/DJEÜ+D scheitert
FREI/DJAÜKS freitags
GDON/SNS Konsens
GPSn/DED gespendet
REINn reinen
NAKʃ/GFRAÜKD nachgefragt
FEÜ/GWAL/DJI/GU+N Vergewaltigung
BE/SED/+Sn besetzen
DJÜ tue
DJÄI/L~O Taylor
GRÜN grün
LI/FE/RAN/DJN Lieferanten
SJRIS/DJN Christen
BDN/LAS/DJED entlastet
AK/GDU Akku
BRU/DJALn brutalen
SHMU/SAMn/GE/SDELD zusammengestellt
E/GDJIS/DJIn existieren
DJEÜ/R~O Terror
GRIN/Gn geringeren
BEÜ/GA/BE Übergabe
RAS/SIS/DJIʃ rassistisch
IN/HAL/DJN Inhalten
DJA/LI/BAN Taliban
EIN/F~Ün einführen
SDÜD/+Sn stützen
SÜD/DJROL Südtirol
FREI/EÜ freier
BDEÜ/MA/NE+ND permanent
MID/MNʃn Mitmenschen
SDA/DJIS/DJKn Statistiken
IN/NEn inneren
FW~OM vorm
EÜ/NAND ernannt
GRÜND/LIKʃ gründlich
RF/E RWE
BREND brennt
AUS/GF~ÜD ausgeführt
MID/DJEILn mitteilen
BDJREU/EÜ Betreuer
FAN/GDEÜD verankert
Ss/NA/DJ~O Senator
SIN/GEÜ Singer
FWEÜ/LA+N/DJE verlangte
DJREF/BDU+ND Treffpunkt
JÄÜ/LI/SHJE jährliche
SLEKʃ/DJES schlechtes
HAN/NES Hannes
DJNA/MO Dynamo
LEIN/WAND Leinwand
BDJNN/REIS Reis
MO/DUS Modus
BUN/DES/WEI/DJE bundesweite
LU/SHMIn Lucien
GDUL/DJU/RELn kulturellen
RO/NAL/DO Ronaldo
MNIS/DJEÜ/BDRÄ/SI/DN/DJIN Ministerpräsidentin
GDLI+Nn klingen
SHMI/DJ~I/DJE zitierte
AN/BLIK Anblick
BFI/LE/RINn Spielerinnen
EIN/DRI+N/LIKʃ eindringlich
DRESD/NEÜ Dresdner
FREI/HEIs/SDRA/FE Freiheitsstrafe
I/I/I III
LO/RE+NS Lorenz
EIN/SHMI/HN einziehen
S~O/DJI/ME+ND Sortiment
EÜn/AMD/LIKʃ ehrenamtlich
GDRI/MNA/LI/DJÄD Kriminalität
F~U/DJEI/LU+N Verurteilung
A/SHJIM Achim
BDRO/GNOS/DJI/SHM~I+D prognostiziert
GEÜ/NO+D Gernot
LUN/GE Lunge
A/LI Ali
BES/Ss/RU+N Besserung
EÜ/LASs Erlass
MÜSD müsst
SOF/JE+D/U/NI/ON Sowjetunion
ME/DI/SHMI/NIʃ medizinisch
E/MO/DJO/NALn emotionalen
FLAKʃ flach
BDJRAKʃD Betracht
L~I/GEN/DEN liegenden
AK/DJI/FW~I+D aktiviert
EÜ/GDRAN/Kn erkranken
HAÜ/DJEÜ harter
HEÜPSD/FE/RIn Herbstferien
BDJNN/BFEÜ/DE Pferde
DE/REÜ derer
FÄIK Fake
BE/SHMIF/FEÜ+D beziffert
AUS/MAKʃn ausmachen
N~O/WE/GEÜ Norweger
SDIKʃ/W~O+D Stichwort
AN/GHÄOn angehören
BDA+/GDMAL Pascal
SDEL/FEÜ/DJRE/DJN/DEÜ stellvertretender
FIKS fix
HEINS/BEÜK Heinsberg
BF~O/SHM~UKD bevorzugt
~O/SHJES/DJEÜ Orchester
BREKʃ/DJIKD berechtigt
BDRO/FI/F~U+S/BAL Profifußball
AN/BDA+/SU+Nn Anpassungen
E/RIKʃ Erich
JAU/NA/LIS/DJIN Journalistin
SDREIFn/WAÜKn Streifenwagen
FWEÜ/BREI/DJE/DJE verbreitete
SON/DEÜ/SI+D/SHMU+N Sondersitzung
EU/RO/SHMO/NE Eurozone
SJIL/DEÜ Schilder
SLOSn schlossen
E/DJAP/LIn etablieren
BLEI/DI/GU+Nn Beleidigungen
DRA/MA/DJI/SJE dramatische
BE/SE+S/DJN besetzten
RÜK/DJN rückten
EKS/BDEÜ/DJIN Expertin
GKn/WÄÜ/DJKn gegenwärtigen
SON/JA Sonja
A/DJEM Atem
OL/DJN Olten
BEI/FAÜ/REÜ Beifahrer
IN/GOL/SDAD Ingolstadt
GREKʃD/FEÜ/DJIKD gerechtfertigt
DJI/BDIʃn typischen
MA/R~I Marie
BFI/GELD spiegelt
SJ~I+PD schiebt
MID/BRI+Nn mitbringen
HAÜ+D/MA+N Hartmann
SDRA/DJE/GIn Strategien
HOL/DI+N Holding
EÜ/SHMIL/DJN erzielten
LEs Lee
E/LEK/DJRO/NIʃn elektronischen
BDN/SJUL/DI/GU+N Entschuldigung
BNE/DIKD Benedikt
EI/NI/GEÜ/MAÜ+Sn einigermaßen
FEI/EÜ/DJAÜK Feiertag
AP/SDIKS/GDAMPF Abstiegskampf
MAÜKD/AN/DJEIL Marktanteil
BE/GDAN/DJES/DJN bekanntesten
RUʃD/DJE rutschte
BE/GEÜK/NE+D begegnet
IS/RAI/LI/SJE israelische
IS/RAI/LIʃn israelischen
WÄOL/FE Wölfe
AP/SHMU/SAÜKn abzusagen
AUS/ÜPn ausüben
RE/GEL/BDJRIP Regelbetrieb
N/GA/G~I/DJE engagierte
UN/GE/GDLÄÜ/DJEÜ ungeklärter
BDJNN/MAÜS Mars
E/MIS/SJONn Emissionen
MEI/NU+NS/FREI/HEI+D Meinungsfreiheit
WÄÜ/LEÜN Wählern
BDAÜ/DJEI/SHJEF Parteichef
EIKn/DJUM Eigentum
GE/SWIS/DJEÜ Geschwister
EKʃ/DJES echtes
GEIK/NE/DJE geeignete
AN/SHMU/BDA+Sn anzupassen
GDA/BHJO/LI/SJE katholische
UM/LIKn/DN umliegenden
GDOMn/DJAn Kommentaren
RE/LE/FWA+ND relevant
GAL/DJN galten
RE/GISD/RIn registrieren
DI/A/NA Diana
SWIʃn/SHMEID Zwischenzeit
AP/HOLn abholen
GDJROF/FENn getroffenen
DRAS/DJI/SJE drastische
E/LE/ME+ND Element
REKʃD/FEÜ/DJKn rechtfertigen
N~ID/RI/GE niedrige
A/SEÜ/BAID/SJAN Aserbaidschan
FRAK/DJONS/SJEF Fraktionschef
HU/BEÜ/DJUS Hubertus
GE/SLEU/DEÜD geschleudert
BA/BJS Babys
DES/IN/FI/SHM~I+D desinfiziert
AUF/GF~ÜD aufgeführt
WAÜMn warmen
BWEÜ/BU+N Bewerbung
GRUND/LAÜKn Grundlagen
N~OD/OS/DJN Nordosten
GDOMn/DJIn kommentieren
AN/GE/SI/DELD angesiedelt
BDRO/FES/SJO/NEL/LE professionelle
DJ~O/JÄ/GEÜ Torjäger
DJREF/FEÜN Treffern
GDOPF/BAL Kopfball
RE/SO/NA+NS Resonanz
GRÄUMD geräumt
GE/SJUL/DE+D geschuldet
BDRIN/SHMES/SIN Prinzessin
GDON/DJRA/HN/DJN Kontrahenten
OFn/SF offensiv
MO/DJI/FWE Motive
AUKn/HÄO/HE Augenhöhe
FWA/NES/SA Vanessa
BFUN/DN befunden
BDNFn/DED entwendet
HÄND/LEÜN Händlern
GDMLIN/DJON Clinton
GDÄO/BDEÜ/LIKʃn körperlichen
UM/SONSD umsonst
FEÜ/SAM/MEL/DJN versammelten
MUSs/UMS Museums
DE+N/MAL Denkmal
WAÜN/SIN Wahnsinn
FL~UK/GE/SEL/SJAF/DJN Fluggesellschaften
MI+D/DJEL/FRIS/DJIK mittelfristig
GDON/DJEÜ Konter
MU/SI/GDA/LI/SJE musikalische
SWA/SHJE schwache
BDRÄ/SI/DUM Präsidium
BOM/BE Bombe
SDÄO/RU+Nn Störungen
BDO/LI/SHMEI/LIKʃn polizeilichen
ÜP/LI/SJEÜ/WEISs üblicherweise
GDUKʃn Kuchen
NÜM/M/FW MV
SHMU/FLÄS/SIK zuverlässig
FEÜ/DJEI/DI/GU+NS/MNIS/DJRIN Verteidigungsministerin
E/WIK ewig
BE/R BER
GDR~I/GES Krieges
GDMA/RO/LI/NA Carolina
MÄN/LIKʃn männlichen
BDRO/MNn/DJE prominente
BFA/SHMIn spazieren
BEÜ/WAKʃn überwachen
A/LE/GDJEI Alexej
BE/SHM~IKS/AMD Bezirksamt
GDOM/BI/N~I+D kombiniert
BDLAS/DJIK Plastik
LÄÜKn lägen
JOS iOS
F~O/GE/SRIPn vorgeschrieben
BFIL/BEÜK Spielberg
BESD/MÄOK/LIKʃ bestmöglich
AN/SIKʃ/DJN Ansichten
N~I/DEÜ/LÄN/DI/SJE niederländische
AU/SEÜ/GWÄON/LIKʃn außergewöhnlichen
NÜM/DRK DRK
MAÜ/GDO Marko
JÄK Jack
O/BDE/RA/DJFn operativen
AN/WEI/SU+Nn Anweisungen
FEÜ/GDÜN/DN verkünden
SDAUS Staus
ROLn rollen
GDWAÜ/DJALS/SHMAÜLn Quartalszahlen
BDN/SJUL/DIKD entschuldigt
GRIN/GRE geringere
BDJNN/HAÜN Hahn
EÜn/AMD/LIKʃn ehrenamtlichen
LÄN/GREM längerem
DJO+PF Topf
DJEKʃ/NI/SJEÜ technischer
AUF/GDJEILD aufgeteilt
BDN/FEÜN/DJE entfernte
FAU/EL Foul
OFn/BAÜD offenbart
BRI/DJE Brite
BÄL/LE Bälle
FWEÜ/F~ÜK/BAÜ/GDEI+D Verfügbarkeit
DJAÜKS/BEÜ tagsüber
GE/SDI/GNn gestiegenen
DJRÄUMn träumen
RE/GIS/DJR~I/DJE registrierte
HÄN/GE hänge
GFLÜKʃ/DJED geflüchtet
FEÜ/HÄLD verhält
HEI/MAD/SDAD Heimatstadt
WAN/DREÜ Wanderer
BDROMPD prompt
GU+D/SJEI/NE Gutscheine
F~O/JAÜn Vorjahren
SJNKn schenken
F~O/SDEL/BAÜ vorstellbar
AN/SÄ+D/SHME Ansätze
UN/DJEÜ/SDÜ+S/DJE unterstützte
FUN/SI/SJEÜD verunsichert
BDN/NOMn entnommen
IN/GO Ingo
GDRISn/MA/NÄʃD/MND Krisenmanagement
AK/DJN Akten
ÄN/DEÜ/DJE änderte
GD~O/RI/G~I+D korrigiert
BDA+N/DJE bedankte
E/LEK/DJRO/NI/SJE elektronische
FRÜKʃ/DJE Früchte
BDRO/GRAMS Programms
RE/SHME+PD Rezept
AP/WEKs/LU+N Abwechslung
AÜ/BEIs/SHMEI+D Arbeitszeit
RO/BO/DJEÜ Roboter
AP/SL~I+Sn abschließen
MAN/DA+D Mandat
BHIL/I+P/BDE Philippe
SHMU/SJUSs Zuschuss
LO/GDEÜN lockern
AN/HÄO/RU+N Anhörung
UN/FAL/AUF/NAÜ/ME Unfallaufnahme
AKʃ/DJU+N Achtung
FWEÜ/HÄ+N/DJE verhängte
WI/DRAUF/BAU Wiederaufbau
BOP/AKʃ/DJU+Nn Beobachtungen
NEU/SEs/LAND Neuseeland
SDRNn Sternen
NI/GDMO/LAS Nicolas
IN/DJK/RIn integrieren
MAN/GELN/DE mangelnde
BDLAÜ/GDA/DJE Plakate
FEÜ/HÄLD/NIS/MÄÜ/SIK verhältnismäßig
BRAND/DJ Brandt
SHM~ÜKn Zügen
AN/SDEIKn ansteigen
MEI/DN meiden
EKS/DJREMn extremen
SJIL/DEÜ/DJE schilderte
SHJAL/LENʃ Challenge
NO/MNI/RU+N Nominierung
DJÄ/DJKn tätigen
AN/BFREKʃ/BDAÜ+D/NEÜ Ansprechpartner
FLI+PD verliebt
MAU/REÜ Maurer
UN/FAL/~OD Unfallort
GE/GDLAPD geklappt
D~O/DJI/GE dortige
JE/NES jenes
FEIN/BAÜ/DJN vereinbarten
BDEKʃ Pech
BDJNN/W~I+D Wirt
BE/SLAÜK/NAÜMD beschlagnahmt
DRI+D/DJEÜ dritter
BLEI/DI/GU+N Beleidigung
EIN/SAM/GDEI+D Einsamkeit
DJ~IM/GDOL/LE/GE Teamkollege
WIN/FR~ID Winfried
SWEI/GDAMPF Zweikampf
BÄUS Boys
I/DAL ideal
BAKʃ/DJU+N Beachtung
HAU+PD/ROL/LE Hauptrolle
JU/AN Juan
GHÄL/DJEÜ Gehälter
RU/HN ruhen
BED/DJNA Bettina
UN/DJEÜ/BRIN/GU+N Unterbringung
NILS Nils
BFEK/DJRUM Spektrum
GWÄÜL/DJN gewählten
BFN/DEÜ Spender
N/FI/DA Nvidia
AD/DJN/DJÄ/DJEÜ Attentäter
SEÜN/SUKʃD Sehnsucht
DJROSD Trost
EKS/DJRNn externen
SJNA/GO/GE Synagoge
W~OL/SDAND Wohlstand
WAND/DJE wandte
BDRÄ/SI/DN/DJN/WAÜL Präsidentenwahl
AUS/GWISn ausgewiesen
BW~OPn beworben
SAM Sam
BE/GDRÄF/DJIKD bekräftigt
GDLÄÜ+D klärt
BA/SHJE/L~O Bachelor
GRALD Gerald
SEÜKn Segen
FWEÜ/SDÄÜ/GDU+N Verstärkung
GR~O+S/AÜ/DJIK großartig
FWE/NE/SHMU/E/LA Venezuela
SDEI/NEÜ Steiner
GDWA/LI/FI/SHM~I+D qualifiziert
BU/DA/BDESD Budapest
FWÄ/DJEÜ Väter
FIK/DJO/JRA Victoria
EIN/GE/SE+S/DJN eingesetzten
NO/DJN/BA+N Notenbank
BF~O+D/FW~O/SDAND Sportvorstand
